MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
HKUST-1	0.0011365734	0.0045462934	4.0031770659	0.2350541596	12.926415155399999	0.8383459273	16.930728794700002	1.0779463803	1e-06	0.1666665	0.8333325
HKUST-1	0.0	0.0	4.6718886592	0.46749074	11.7953628749	0.730527155	16.4672515341	1.198017895	1e-06	0.19999979999999998	0.7999991999999999
HKUST-1	0.0022731467	0.0055680496	5.5736987313	0.33472724940000004	11.1100740011	0.7170790957	16.6860458791	1.0573743947	1e-06	0.24999975	0.74999925
HKUST-1	0.0170486003	0.0190185099	4.0254950054	0.1406661528	12.814250661900001	0.6919257791	16.8567942676	0.8516104418000001	1e-05	0.166665	0.8333250000000001
HKUST-1	0.015912027	0.013254609099999998	4.5801371303	0.182255206	11.8995673076	0.49558429020000005	16.4956164649	0.6910941053	1e-05	0.199998	0.799992
HKUST-1	0.0125023069	0.0167041487	5.9134273652	0.3299493568	11.3807160695	0.5705603146	17.3066457416	0.9172138201000001	1e-05	0.24999749999999998	0.7499925000000001
HKUST-1	0.1068378955	0.03166127	3.8337260441	0.2683352145	12.4734153297	0.7451698672	16.4139792693	1.0451663517	0.0001	0.16665	0.8332499999999999
HKUST-1	0.10570132210000001	0.0292874467	4.4859058304	0.30458929100000004	12.183958572	0.9842870534999999	16.7755657245	1.3181637912000002	0.0001	0.19998	0.79992
HKUST-1	0.10570132210000001	0.0356529131	5.6406525496	0.27940221120000003	11.2511841705	0.772158115	16.9975380422	1.0872132393	0.0001	0.249975	0.749925
HKUST-1	1.1604413963	0.1817664739	3.8006624301	0.22562131489999998	12.4133530525	1.0418875267	17.374456878900002	1.4492753155000002	0.001	0.1665	0.8325
HKUST-1	1.2115871973	0.0823996087	4.4668942524	0.2917009121	12.0254809972	0.4326531372	17.7039624469	0.806753658	0.001	0.1998	0.7992
HKUST-1	1.1911288769	0.3017896556	5.7803463188	0.4427500639	11.206318373	0.4610320179	18.1777935687	1.2055717374	0.001	0.24975	0.74925
HKUST-1	2.3754383137	0.3821997255	3.7634658644	0.4862318933	12.3105959035	0.8161654059000001	18.4495000816	1.6845970247	0.002	0.16633333333333333	0.8316666666666667
HKUST-1	2.2447323778	0.3085121551	4.4602815296	0.300151335	11.846741449400001	0.4847947043	18.5517553568	1.0934581944	0.002	0.1996	0.7984
HKUST-1	2.2640541249	0.2663173519	5.657184356599999	0.30801555989999996	11.026131541400002	0.7382793068000001	18.9473700229	1.3126122186	0.002	0.2495	0.7484999999999999
HKUST-1	3.2994724521	0.36671711490000003	3.7783444907	0.3460403786	12.3887492281	0.6873150558	19.4665661709	1.4000725493000001	0.003	0.16616666666666666	0.8308333333333333
