MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
NU-100	0.0	0.0	2.6626785888	0.1985742128	10.024271927300001	0.4715361293	12.6869505161	0.6701103421	1e-06	0.1666665	0.8333325
NU-100	0.0005848594999999999	0.0014326074	3.2734783417	0.1697644881	9.8118333265	0.4676997608	13.0858965277	0.6388968563	1e-06	0.19999979999999998	0.7999991999999999
NU-100	0.0	0.0	4.121622288399999	0.29092685030000004	8.8708476222	0.7266373206	12.992469910599999	1.0175641709	1e-06	0.24999975	0.74999925
NU-100	0.0011697189999999998	0.0034102876	2.7045753685	0.1578241768	9.9602238303	0.6154075274	12.665968917799999	0.7766419918	1e-05	0.166665	0.8333250000000001
NU-100	0.0026318678000000002	0.0021883439	3.1728835356	0.1847323215	9.470926159	0.4024823071	12.6464415624	0.5894029725	1e-05	0.199998	0.799992
NU-100	0.0017545785	0.0021883439	4.0186880682	0.1087294699	8.9887035681	0.5014072149000001	13.0091462148	0.6123250286999999	1e-05	0.24999749999999998	0.7499925000000001
NU-100	0.0119896199	0.0093211267	2.7015979324	0.2743267191	10.0924161236	0.4028900069	12.8060036759	0.6865378527	0.0001	0.16665	0.8332499999999999
NU-100	0.010527471100000001	0.0070183141	3.2643333594	0.1686085121	9.8714129516	0.2830433935	13.1462737821	0.4586702197	0.0001	0.19998	0.79992
NU-100	0.015791206699999998	0.0113106445	3.9570126057	0.0836909381	8.983676537300001	0.43798275	12.9564803497	0.5329843326	0.0001	0.249975	0.749925
NU-100	0.1254523639	0.021281172200000004	2.7201005711	0.15563320630000002	9.9460736694	0.5042220036	12.791626604400001	0.6811363820999999	0.001	0.1665	0.8325
NU-100	0.12194320689999999	0.0323316767	3.305166769	0.2513997498	9.6921155173	0.7342575074	13.1192254932	1.0179889339000001	0.001	0.1998	0.7992
NU-100	0.1248675044	0.0131560893	4.000398103399999	0.3135914136	9.1171721348	0.3877624312	13.2424377426	0.7145099341	0.001	0.24975	0.74925
NU-100	0.2669883643	0.0577087723	2.6267366813	0.1217595383	10.1121518744	0.5264137835	13.00587692	0.7058820940999999	0.002	0.16633333333333333	0.8316666666666667
NU-100	0.25850790149999997	0.034122931	3.2475321126999996	0.1339407332	9.7470404842	0.7486416831	13.2530804984	0.9167053473000001	0.002	0.1996	0.7984
NU-100	0.2427166948	0.0407307514	4.0297471166	0.20479789280000002	8.8920728636	0.5088229486	13.164536675	0.7543515928	0.002	0.2495	0.7484999999999999
NU-100	0.3854224142	0.0303112996	2.74179332	0.1199798116	10.0453109825	0.23092989879999998	13.1725267167	0.38122101	0.003	0.16616666666666666	0.8308333333333333
NU-100	0.39448773649999996	0.0469128785	3.2858134343	0.1362043787	9.8246801832	0.6776769053	13.504981354000002	0.8607941625	0.003	0.1994	0.7976
NU-100	0.39858175310000005	0.025667270899999997	4.1243870505	0.1294106926	9.1024634149	0.4765197474	13.625432218499999	0.6315977109	0.003	0.24925	0.74775
NU-100	0.5310524311	0.0495718029	2.6765023994	0.1180829223	10.2851189736	0.4099100805	13.4926738041	0.5775648057	0.004	0.166	0.8300000000000001
NU-100	0.5041488938	0.0860638201	3.181815844	0.163332531	9.613917259299999	0.7786590954000001	13.2998819971	1.0280554465	0.004	0.1992	0.7968
NU-100	0.5064883318	0.0747522751	4.0491004514	0.4003593721	8.8321208658	0.8328125920999999	13.387709649000001	1.3079242393000001	0.004	0.249	0.747
NU-100	0.6377892908	0.06204474559999999	2.6377957298	0.1145174002	9.8334309406	0.4701003857	13.109015961199999	0.6466625315	0.005	0.16583333333333333	0.8291666666666666
NU-100	0.6506562	0.10655042320000001	3.2532743108999997	0.24653899070000002	9.6928602626	0.5049584675	13.596790773499999	0.8580478814	0.005	0.19899999999999998	0.7959999999999999
NU-100	0.6179040675999999	0.053238280199999995	4.0459103413	0.1151224663	8.9162770863	0.4792428863	13.5800914952	0.6476036328	0.005	0.24875	0.74625
