MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
ZIF-8	0.0	0.0	2.2505663881999998	0.1564101055	8.6794980202	0.45917001609999997	10.9300644084	0.6155801216	1e-06	0.1666665	0.8333325
ZIF-8	0.0010068523	0.0040274091	2.6803963767	0.2531548024	8.201274635	0.5184886875	10.882677864000001	0.7756708990000001	1e-06	0.19999979999999998	0.7999991999999999
ZIF-8	0.0005034261	0.0020137045	3.3189172456000002	0.2314415638	7.6874729686	0.5909995335	11.0068936403	0.8244548018000001	1e-06	0.24999975	0.74999925
ZIF-8	0.0025171307	0.0055147569999999995	2.275462844	0.1198295414	8.6910369222	0.22958187559999998	10.969016896900001	0.354926174	1e-05	0.166665	0.8333250000000001
ZIF-8	0.0010068523	0.0040274091	2.679664128	0.1688686805	8.2583280952	0.48405439	10.9389990755	0.6569504796	1e-05	0.199998	0.799992
ZIF-8	0.0010068523	0.0024662742999999997	3.4086177117000003	0.22771639649999997	7.756706380900001	0.2846363571	11.1663309449	0.5148190279	1e-05	0.24999749999999998	0.7499925000000001
ZIF-8	0.0231576021	0.013281293500000001	2.2366536628	0.1121177742	8.7057810748	0.40321695469999996	10.9655923397	0.5286160224	0.0001	0.16665	0.8332499999999999
ZIF-8	0.0226541759	0.0127357857	2.7118830709	0.2946207001	8.595520455199999	0.5504250547999999	11.330057702000001	0.8577815406	0.0001	0.19998	0.79992
ZIF-8	0.0206404714	0.0116551576	3.3657811626	0.0895800873	7.778822609800001	0.245911035	11.165244243800002	0.3471462799	0.0001	0.249975	0.749925
ZIF-8	0.1797231291	0.0421917954	2.2718016005	0.1130132826	8.8272600715	0.41334064299999995	11.278784801099999	0.568545721	0.001	0.1665	0.8325
ZIF-8	0.19079850399999998	0.038260386	2.7704629672000003	0.225368498	8.1778763059	0.4079839548	11.1391377771	0.6716128388	0.001	0.1998	0.7992
ZIF-8	0.1857642427	0.0430009616	3.4166724474000003	0.21050844850000003	8.015690627	0.5867993606	11.6181273171	0.8403087706999999	0.001	0.24975	0.74925
ZIF-8	0.3841141387	0.0639648417	2.3292831237000002	0.1300148762	8.6814211705	0.5268714412	11.3948184329	0.7208511591	0.002	0.16633333333333333	0.8316666666666667
ZIF-8	0.37555589450000004	0.049673645999999995	2.6584289156	0.1331082328	8.3128173549	0.2811207584	11.346802165	0.46390263719999997	0.002	0.1996	0.7984
ZIF-8	0.362466815	0.0550555804	3.3379557119	0.1340355199	7.8781853775	0.2764583896	11.5786079044	0.4655494899	0.002	0.2495	0.7484999999999999
ZIF-8	0.575919495	0.08587216240000001	2.2567905021	0.1431990925	8.6310987365	0.6983139883	11.463808733599999	0.9273852431999999	0.003	0.16616666666666666	0.8308333333333333
ZIF-8	0.5532653191	0.0727725068	2.6360953302000003	0.1632274175	8.2990347774	0.3084950022	11.4883954267	0.5444949265	0.003	0.1994	0.7976
ZIF-8	0.5638372679	0.1191323665	3.3518684372000003	0.1859681061	7.778822609800001	0.5472458258	11.6945283149	0.8523462984000001	0.003	0.24925	0.74775
ZIF-8	0.7309747437	0.1181325649	2.2875449476	0.09347578460000001	8.656099691	0.4141769175	11.6746193823	0.625785267	0.004	0.166	0.8300000000000001
ZIF-8	0.7586631809000001	0.1097238014	2.6240132266	0.1228476782	8.3839739175	0.3804274621	11.766650325	0.6129989417	0.004	0.1992	0.7968
ZIF-8	0.7556426242000001	0.04811869059999999	3.3628521678	0.1667373871	7.7474111542	0.32969800050000003	11.865905946199998	0.5445540782	0.004	0.249	0.747
ZIF-8	0.9519788156	0.0815115158	2.1905219945	0.0675338175	8.338779884500001	0.518289711	11.4812806946	0.6673350443	0.005	0.16583333333333333	0.8291666666666666
ZIF-8	0.9434205714	0.0705084198	2.6807625011000003	0.1748465164	8.2083261863	0.2687858228	11.832509258800002	0.514140759	0.005	0.19899999999999998	0.7959999999999999
ZIF-8	0.9459377020999999	0.0697131595	3.267293712	0.1380322795	7.8153624663	0.3671465875	12.028593880399999	0.5748920264999999	0.005	0.24875	0.74625
ZIF-8	1.0994826723	0.0896833555	2.2154184504	0.1190078742	8.6519328653	0.4707970848	11.966833988	0.6794883145	0.006	0.16566666666666666	0.8283333333333333
ZIF-8	1.1397567629	0.08533926789999999	2.6207181074	0.16120451449999998	8.08877034	0.2905336433	11.8492452103	0.5370774257	0.006	0.1988	0.7952
ZIF-8	1.1775137228	0.1251659514	3.3602892973	0.0697214593	7.816965091599999	0.5917125216	12.3547681117	0.7865999323	0.006	0.2485	0.7455
ZIF-8	1.3491820338	0.0827213546	2.21285558	0.13752636570000001	8.6567407411	0.3792861182	12.2187783549	0.5995338385	0.006999999999999999	0.1655	0.8275
ZIF-8	1.3481751815	0.10981615380000001	2.7188394336000004	0.2534405744	8.1554395519	0.5246571259	12.222454167	0.8879138541	0.006999999999999999	0.1986	0.7944
ZIF-8	1.3416306418000001	0.07779522059999999	3.3639505408	0.16285909140000002	7.8964553058	0.8439623784999999	12.6020364884	1.0846166904999999	0.006999999999999999	0.24825	0.74475
ZIF-8	1.5153126574	0.1089542558	2.2384842846	0.14478169789999998	8.583019978	0.34537433840000004	12.33681692	0.5991102921	0.008	0.16533333333333333	0.8266666666666667
ZIF-8	1.5384702594	0.16882123429999998	2.6492758068	0.1139441099	8.1971078093	0.23061237699999998	12.3848538755	0.5133777212	0.008	0.1984	0.7936
ZIF-8	1.47201801	0.126775455	3.3053706446	0.1118831929	7.7493343046000005	0.534655011	12.5267229592	0.7733136589	0.008	0.248	0.7440000000000001
ZIF-8	1.7066145875	0.0515366751	2.2102927095	0.085913714	8.4955166374	0.4654438815	12.412423934400001	0.6028942706	0.009000000000000001	0.16516666666666666	0.8258333333333333
ZIF-8	1.731282468	0.1473379592	2.6547676721	0.1502163195	8.2006335849	0.4182673921	12.586683725	0.7158216708	0.009000000000000001	0.1982	0.7928
ZIF-8	1.7569572006999998	0.11715884539999999	3.3438137015	0.134275326	7.6977297704	0.3700941707	12.7985006726	0.6215283421	0.009000000000000001	0.24775	0.74325
ZIF-8	1.9583276535	0.07648101759999999	2.2084620877	0.1112825315	8.6022514814	0.5307670418	12.7690412226	0.7185305909	0.01	0.165	0.8250000000000001
ZIF-8	1.8797931769	0.1089728629	2.6866204906999998	0.1054183848	8.178517356	0.4277365755	12.7449310236	0.6421278232	0.01	0.198	0.792
ZIF-8	1.9009370744999998	0.0787278639	3.2958514113999997	0.1647250381	7.4935553089999996	0.26190172829999997	12.6903437949	0.5053546303	0.01	0.2475	0.7424999999999999
ZIF-8	2.3132430766	0.1882571427	2.2392165333	0.0837904995	8.4016027957	0.6487370144	12.9540624056	0.9207846566	0.012	0.16466666666666666	0.8233333333333333
ZIF-8	2.3449589229	0.0818961525	2.6013135168	0.12486933880000001	8.217941938	0.5308746513	13.1642143777	0.7376401426000001	0.012	0.1976	0.7904
ZIF-8	2.2009790492	0.18001549890000001	3.314157629	0.1515701752	7.508299461699999	0.49469800340000003	13.0234361399	0.8262836775	0.012	0.247	0.741
ZIF-8	2.6621173861000003	0.1857799315	2.2311617975	0.17139000059999998	8.4916703367	0.4173359331	13.3849495203	0.7745058652	0.013999999999999999	0.16433333333333333	0.8216666666666667
ZIF-8	2.5956651366999997	0.16357553789999998	2.6763690088	0.1549705385	8.2140956373	0.6071343632	13.486129782799999	0.9256804395999999	0.013999999999999999	0.1972	0.7888
ZIF-8	2.6787304484	0.2042545678	3.2764468208	0.1743674671	7.7560653308	0.2400696302	13.7112426	0.6186916651	0.013999999999999999	0.2465	0.7395
ZIF-8	3.0688857007999997	0.1245977134	2.2209103157	0.1623281586	8.5935973049	0.4446245216	13.883393321400002	0.7315503936	0.016	0.16399999999999998	0.8200000000000001
ZIF-8	3.130807115	0.1490821501	2.6148601178	0.186019997	8.3679476647	0.3281312555	14.1136148975	0.6632334026	0.016	0.1968	0.7872
ZIF-8	3.1172146094	0.23532358239999998	3.3452781989	0.1353491957	7.5063763113	0.48758762200000005	13.9688691196	0.8582604001	0.016	0.24600000000000002	0.738
ZIF-8	3.5567056227	0.2184892612	2.2223748131	0.08196607639999999	8.422436924400001	0.3201055357	14.2015173602	0.6205608733	0.018000000000000002	0.16366666666666665	0.8183333333333332
ZIF-8	3.4313525158	0.1458511607	2.6166907396	0.1437820253	8.0846035143	0.45428069600000004	14.132646769700001	0.7439138820000001	0.018000000000000002	0.1964	0.7856
